layer,feature,c_vqa,n_vqa,c_vsr,n_vsr,freq_vqa,freq_vsr,freq_diff,odds_ratio,p_raw,p_adj
12,15424,2086,50000,7529,7529,0.04172,1.0,0.95828,1000000000.0,0.0,0.0
13,13451,722,50000,7529,7529,0.01444,1.0,0.98556,1000000000.0,0.0,0.0
1,1621,11162,50000,7529,7529,0.22324,1.0,0.77676,1000000000.0,0.0,0.0
0,2007,30739,50000,7529,7529,0.61478,1.0,0.38522,1000000000.0,0.0,0.0
6,12330,14806,50000,7529,7529,0.29612,1.0,0.7038800000000001,1000000000.0,0.0,0.0
5,11728,28795,50000,7529,7529,0.5759,1.0,0.42410000000000003,1000000000.0,0.0,0.0
5,11782,698,50000,7529,7529,0.01396,1.0,0.98604,1000000000.0,0.0,0.0
5,11648,6409,50000,7529,7529,0.12818,1.0,0.87182,1000000000.0,0.0,0.0
17,3152,49600,50000,7529,7529,0.992,1.0,0.008000000000000007,1000000000.0,3.4842155671659175e-25,2.967000854056218e-24
0,2039,9,50000,7529,7529,0.00018,1.0,0.99982,1000000000.0,0.0,0.0
0,2056,12700,50000,7529,7529,0.254,1.0,0.746,1000000000.0,0.0,0.0
0,2068,80,50000,7529,7529,0.0016,1.0,0.9984,1000000000.0,0.0,0.0
0,1912,66,50000,7529,7529,0.00132,1.0,0.99868,1000000000.0,0.0,0.0
5,11142,211,50000,7529,7529,0.00422,1.0,0.99578,1000000000.0,0.0,0.0
5,11157,42949,50000,7529,7529,0.85898,1.0,0.14102000000000003,1000000000.0,0.0,0.0
6,12966,19959,50000,7529,7529,0.39918,1.0,0.60082,1000000000.0,0.0,0.0
23,9622,49708,50000,7529,7529,0.99416,1.0,0.005839999999999956,1000000000.0,1.458197307739559e-18,1.0849919161938275e-17
5,11546,140,50000,7529,7529,0.0028,1.0,0.9972,1000000000.0,0.0,0.0
5,11560,16564,50000,7529,7529,0.33128,1.0,0.66872,1000000000.0,0.0,0.0
16,10902,49707,50000,7529,7529,0.99414,1.0,0.005859999999999976,1000000000.0,1.2663848869283522e-18,9.435072402289199e-18
16,10926,9655,50000,7529,7529,0.1931,1.0,0.8069,1000000000.0,0.0,0.0
1,1677,827,50000,7529,7529,0.01654,1.0,0.98346,1000000000.0,0.0,0.0
13,13087,11130,50000,7529,7529,0.2226,1.0,0.7774,1000000000.0,0.0,0.0
19,3814,11260,50000,7529,7529,0.2252,1.0,0.7747999999999999,1000000000.0,0.0,0.0
19,3862,557,50000,7529,7529,0.01114,1.0,0.98886,1000000000.0,0.0,0.0
1,10683,9738,50000,7529,7529,0.19476,1.0,0.80524,1000000000.0,0.0,0.0
12,14932,52,50000,7529,7529,0.00104,1.0,0.99896,1000000000.0,0.0,0.0
13,13597,49605,50000,7529,7529,0.9921,1.0,0.007900000000000018,1000000000.0,7.062564662504538e-25,5.979171145323317e-24
12,14862,609,50000,7529,7529,0.01218,1.0,0.98782,1000000000.0,0.0,0.0
5,10816,17,50000,7529,7529,0.00034,1.0,0.99966,1000000000.0,0.0,0.0
6,12983,16472,50000,7529,7529,0.32944,1.0,0.67056,1000000000.0,0.0,0.0
17,3499,2234,50000,7529,7529,0.04468,1.0,0.95532,1000000000.0,0.0,0.0
17,3524,20181,50000,7529,7529,0.40362,1.0,0.59638,1000000000.0,0.0,0.0
0,2196,443,50000,7529,7529,0.00886,1.0,0.99114,1000000000.0,0.0,0.0
