layer,feature,c_vqa,n_vqa,c_vsr,n_vsr,freq_vqa,freq_vsr,freq_diff,odds_ratio,p_raw,p_adj
3,1479,5068,50000,7529,7529,0.10136,1.0,0.89864,1000000000.0,0.0,0.0
21,575,49465,50000,7529,7529,0.9893,1.0,0.010700000000000043,1000000000.0,1.7621071248940603e-33,1.720798334496851e-32
21,880,6536,50000,7529,7529,0.13072,1.0,0.86928,1000000000.0,0.0,0.0
9,4874,690,50000,7529,7529,0.0138,1.0,0.9862,1000000000.0,0.0,0.0
15,5126,49665,50000,7529,7529,0.9933,1.0,0.006700000000000039,1000000000.0,3.3806741690198525e-21,2.6640640531582456e-20
9,5115,2597,50000,7529,7529,0.05194,1.0,0.94806,1000000000.0,0.0,0.0
22,3543,5433,50000,7529,7529,0.10866,1.0,0.89134,1000000000.0,0.0,0.0
9,5082,2172,50000,7529,7529,0.04344,1.0,0.95656,1000000000.0,0.0,0.0
4,791,10852,50000,7529,7529,0.21704,1.0,0.78296,1000000000.0,0.0,0.0
15,4538,526,50000,7529,7529,0.01052,1.0,0.98948,1000000000.0,0.0,0.0
14,10395,2853,50000,7529,7529,0.05706,1.0,0.94294,1000000000.0,0.0,0.0
0,12182,42121,50000,7529,7529,0.84242,1.0,0.15758000000000005,1000000000.0,0.0,0.0
21,2418,1379,50000,7529,7529,0.02758,1.0,0.97242,1000000000.0,0.0,0.0
9,5981,432,50000,7529,7529,0.00864,1.0,0.99136,1000000000.0,0.0,0.0
9,7412,877,50000,7529,7529,0.01754,1.0,0.98246,1000000000.0,0.0,0.0
9,6479,4171,50000,7529,7529,0.08342,1.0,0.91658,1000000000.0,0.0,0.0
9,7894,640,50000,7529,7529,0.0128,1.0,0.9872,1000000000.0,0.0,0.0
24,12267,49468,50000,7529,7529,0.98936,1.0,0.010639999999999983,1000000000.0,2.6953720617384286e-33,2.624123808359234e-32
24,16044,16939,50000,7529,7529,0.33878,1.0,0.6612199999999999,1000000000.0,0.0,0.0
9,8680,295,50000,7529,7529,0.0059,1.0,0.9941,1000000000.0,0.0,0.0
10,8940,379,50000,7529,7529,0.00758,1.0,0.99242,1000000000.0,0.0,0.0
14,11564,49656,50000,7529,7529,0.99312,1.0,0.006879999999999997,1000000000.0,9.489898981447178e-22,7.563793600480475e-21
25,12811,2093,50000,7529,7529,0.04186,1.0,0.95814,1000000000.0,0.0,0.0
21,5475,24874,50000,7529,7529,0.49748,1.0,0.5025200000000001,1000000000.0,0.0,0.0
25,11906,2832,50000,7529,7529,0.05664,1.0,0.94336,1000000000.0,0.0,0.0
9,10432,3494,50000,7529,7529,0.06988,1.0,0.9301200000000001,1000000000.0,0.0,0.0
9,10278,49526,50000,7529,7529,0.99052,1.0,0.009480000000000044,1000000000.0,9.936635696881456e-30,9.146170744814931e-29
15,1978,49740,50000,7529,7529,0.9948,1.0,0.005199999999999982,1000000000.0,1.3280917151860485e-16,9.424541824814902e-16
10,7168,48485,50000,7529,7529,0.9697,1.0,0.030299999999999994,1000000000.0,2.410967781493521e-94,4.307846564455082e-93
21,5924,49180,50000,7529,7529,0.9836,1.0,0.01639999999999997,1000000000.0,4.5978487279340257e-51,5.584858832393065e-50
10,6624,754,50000,7529,7529,0.01508,1.0,0.98492,1000000000.0,0.0,0.0
3,5757,48471,50000,7529,7529,0.96942,1.0,0.03058000000000005,1000000000.0,3.1947229860116904e-95,5.737839937908778e-94
9,11413,1241,50000,7529,7529,0.02482,1.0,0.97518,1000000000.0,0.0,0.0
14,12885,49595,50000,7529,7529,0.9919,1.0,0.008099999999999996,1000000000.0,1.7187738935172833e-25,1.47158053273318e-24
15,1038,49512,50000,7529,7529,0.99024,1.0,0.009759999999999991,1000000000.0,1.3698961925069969e-30,1.2786858462845948e-29
15,1057,49547,50000,7529,7529,0.99094,1.0,0.009059999999999957,1000000000.0,1.9392853620474174e-28,1.7475926797960843e-27
14,15980,2411,50000,7529,7529,0.04822,1.0,0.95178,1000000000.0,0.0,0.0
14,16377,47305,50000,7529,7529,0.9461,1.0,0.05389999999999995,1000000000.0,3.6187910129445177e-169,9.971842104005157e-168
10,4931,49606,50000,7529,7529,0.99212,1.0,0.007879999999999998,1000000000.0,8.1344924402732785e-25,6.879282975675234e-24
14,13294,378,50000,7529,7529,0.00756,1.0,0.99244,1000000000.0,0.0,0.0
21,12833,49619,50000,7529,7529,0.99238,1.0,0.00761999999999996,1000000000.0,5.105165068805905e-24,4.254727049224688e-23
21,12690,1390,50000,7529,7529,0.0278,1.0,0.9722,1000000000.0,0.0,0.0
9,14784,109,50000,7529,7529,0.00218,1.0,0.99782,1000000000.0,0.0,0.0
10,4804,858,50000,7529,7529,0.01716,1.0,0.98284,1000000000.0,0.0,0.0
14,13282,49739,50000,7529,7529,0.99478,1.0,0.005220000000000002,1000000000.0,1.1534911018763067e-16,8.200139406923611e-16
14,15388,3676,50000,7529,7529,0.07352,1.0,0.92648,1000000000.0,0.0,0.0
14,15077,1109,50000,7529,7529,0.02218,1.0,0.97782,1000000000.0,0.0,0.0
10,3911,345,50000,7529,7529,0.0069,1.0,0.9931,1000000000.0,0.0,0.0
10,3668,49559,50000,7529,7529,0.99118,1.0,0.00882000000000005,1000000000.0,1.0587307650412221e-27,9.429869450630815e-27
10,447,1101,50000,7529,7529,0.02202,1.0,0.97798,1000000000.0,0.0,0.0
10,188,1325,50000,7529,7529,0.0265,1.0,0.9735,1000000000.0,0.0,0.0
17,14475,49675,50000,7529,7529,0.9935,1.0,0.00649999999999995,1000000000.0,1.3865652900987103e-20,1.078762129084085e-19
14,14344,2664,50000,7529,7529,0.05328,1.0,0.94672,1000000000.0,0.0,0.0
10,698,41509,50000,7529,7529,0.83018,1.0,0.16981999999999997,1000000000.0,0.0,0.0
0,10714,48533,50000,7529,7529,0.97066,1.0,0.029340000000000033,1000000000.0,2.453903009107883e-91,4.282181882888093e-90
10,1377,3681,50000,7529,7529,0.07362,1.0,0.92638,1000000000.0,0.0,0.0
14,14322,4175,50000,7529,7529,0.0835,1.0,0.9165,1000000000.0,0.0,0.0
0,10435,30626,50000,7529,7529,0.61252,1.0,0.38748000000000005,1000000000.0,0.0,0.0
3,9326,48560,50000,7529,7529,0.9712,1.0,0.028800000000000048,1000000000.0,1.2035175545694778e-89,2.0731064373866738e-88
13,10832,49667,50000,7529,7529,0.99334,1.0,0.006659999999999999,1000000000.0,4.483321924750606e-21,3.5231394015513614e-20
13,10586,1871,50000,7529,7529,0.03742,1.0,0.96258,1000000000.0,0.0,0.0
6,2691,2514,50000,7529,7529,0.05028,1.0,0.94972,1000000000.0,0.0,0.0
9,766,217,50000,7528,7529,0.00434,0.9998671802364192,0.9955271802364192,1727034.2119815669,0.0,0.0
10,16101,444,50000,7528,7529,0.00888,0.9998671802364192,0.9909871802364192,840219.7477477477,0.0,0.0
7,15406,756,50000,7528,7529,0.01512,0.9998671802364192,0.9847471802364192,490355.5978835979,0.0,0.0
25,2801,396,50000,7526,7529,0.00792,0.9996015407092576,0.9916815407092575,314242.1750841751,0.0,0.0
13,2672,1306,50000,7528,7529,0.02612,0.9998671802364192,0.9737471802364192,280680.269525268,0.0,0.0
12,15670,1362,50000,7528,7529,0.02724,0.9998671802364192,0.9726271802364191,268830.2966226138,0.0,0.0
9,6929,1371,50000,7528,7529,0.02742,0.9998671802364192,0.9724471802364192,267016.12837345,0.0,0.0
15,6409,1533,50000,7528,7529,0.03066,0.9998671802364192,0.9692071802364192,238003.63731245924,0.0,0.0
12,12858,1736,50000,7528,7529,0.03472,0.9998671802364192,0.9651471802364192,209292.27649769586,0.0,0.0
13,5853,1756,50000,7528,7529,0.03512,0.9998671802364192,0.9647471802364191,206822.7972665148,0.0,0.0
