layer,feature,c_vqa,n_vqa,c_vsr,n_vsr,freq_vqa,freq_vsr,freq_diff,odds_ratio,p_raw,p_adj,fire_fraction
15,6409,1533,50000,7528,7529,0.03066,0.9998671802364192,0.9692071802364192,238003.63731245924,0.0,0.0,0.012
25,5810,1444,50000,7527,7529,0.02888,0.9997343604728384,0.9708543604728384,126551.5969529086,0.0,0.0,0.043
14,15038,2952,50000,7528,7529,0.05904,0.9998671802364192,0.9408271802364192,119978.77506775068,0.0,0.0,0.093
11,16068,3229,50000,7528,7529,0.06458,0.9998671802364192,0.9352871802364192,109040.597088882,0.0,0.0,0.11
7,3437,466,50000,7519,7529,0.00932,0.9986718023641918,0.9893518023641918,79924.06566523605,0.0,0.0,0.02
12,14736,5827,50000,7528,7529,0.11654,0.9998671802364192,0.8833271802364192,57067.846919512616,0.0,0.0,0.887
11,7559,853,50000,7521,7529,0.01706,0.9989374418913536,0.9818774418913536,54166.85038100821,0.0,0.0,0.014
13,2874,3536,50000,7527,7529,0.07072,0.9997343604728384,0.9290143604728384,49453.41176470588,0.0,0.0,0.27
12,1447,374,50000,7506,7529,0.00748,0.9969451454376412,0.9894651454376412,43303.04068821205,0.0,0.0,0.031
22,15212,8000,50000,7528,7529,0.16,0.9998671802364192,0.8398671802364192,39522.0,0.0,0.0,0.139
25,1109,1411,50000,7522,7529,0.02822,0.9990702616549344,0.9708502616549344,37003.79244709933,0.0,0.0,0.015
9,9885,675,50000,7508,7529,0.0135,0.9972107849648028,0.9837107849648028,26125.72134038801,0.0,0.0,0.015
20,394,11274,50000,7528,7529,0.22548,0.9998671802364192,0.7743871802364192,25858.553131098102,0.0,0.0,0.142
10,15678,3533,50000,7525,7529,0.07066,0.9994687209456768,0.9288087209456768,24742.72395980753,0.0,0.0,0.036
13,9640,6633,50000,7527,7529,0.13266,0.9997343604728384,0.8670743604728384,24606.01605608322,0.0,0.0,0.258
24,4317,607,50000,7503,7529,0.01214,0.9965466861468988,0.9844066861468986,23482.17456596122,0.0,0.0,0.107
20,12259,2300,50000,7522,7529,0.046,0.9990702616549344,0.9530702616549342,22285.67701863354,0.0,0.0,0.067
20,7071,13183,50000,7528,7529,0.26366,0.9998671802364192,0.7362071802364192,21023.92293104756,0.0,0.0,0.027
25,15343,13327,50000,7528,7529,0.26654,0.9998671802364192,0.7333271802364192,20715.41562242065,0.0,0.0,0.018
10,9517,1893,50000,7519,7529,0.03786,0.9986718023641918,0.9608118023641918,19108.11056524036,0.0,0.0,0.126
25,10185,11309,50000,7527,7529,0.22618,0.9997343604728384,0.7735543604728383,12875.902245998765,0.0,0.0,0.264
5,3242,19138,50000,7528,7529,0.38276,0.9998671802364192,0.6171071802364192,12139.676873236493,0.0,0.0,0.424
10,8670,1911,50000,7513,7529,0.03822,0.9978748837827068,0.9596548837827068,11816.217196493984,0.0,0.0,0.041
21,2637,6042,50000,7524,7529,0.12084,0.999335901182096,0.8784959011820959,10948.030188679246,0.0,0.0,0.031
11,8853,1261,50000,7501,7529,0.02522,0.996281046619737,0.971061046619737,10354.345729013256,0.0,0.0,0.02
16,1195,1445,50000,7497,7529,0.0289,0.9957497675654138,0.9668497675654136,7872.336397058823,0.0,0.0,0.012
9,15783,1188,50000,7489,7529,0.02376,0.9946872094567673,0.9709272094567672,7692.615067340067,0.0,0.0,0.045
16,10945,7466,50000,7523,7529,0.14932,0.9992030814185152,0.8498830814185151,7143.121751942138,0.0,0.0,0.015
13,16172,1281,50000,7485,7529,0.02562,0.994155930402444,0.968535930402444,6469.762880562061,0.0,0.0,0.022
16,2289,12148,50000,7525,7529,0.24296,0.9994687209456768,0.7565087209456767,5861.794122489298,0.0,0.0,0.015
12,6354,1724,50000,7491,7529,0.03448,0.9949528489839288,0.9604728489839288,5520.141592380022,0.0,0.0,0.068
11,2408,2046,50000,7497,7529,0.04092,0.9957497675654138,0.9548297675654138,5491.066990469209,0.0,0.0,0.223
