layer,feature,fire_fraction
6,16026,0.207
6,16135,0.05
6,16327,0.199
6,16359,0.276
6,16369,0.028
7,37,0.03
7,57,0.027
7,145,0.013
7,206,0.252
7,230,0.188
7,261,1.0
7,311,0.012
7,329,0.548
7,333,0.086
7,377,0.298
7,500,0.082
7,535,0.883
7,557,0.055
7,618,0.17
7,643,0.91
7,768,0.106
7,806,0.235
7,920,0.017
7,1138,0.153
7,1140,0.131
7,1162,0.06
7,1193,0.03
7,1202,0.384
7,1243,0.344
7,1267,0.064
7,1303,0.015
7,1373,0.994
7,1443,0.06
7,1446,0.039
7,1454,0.151
7,1569,0.02
7,1637,0.102
7,1666,0.099
7,1732,0.027
7,1792,0.122
7,1851,0.37
7,2058,0.056
7,2088,0.015
7,2106,0.137
7,2112,0.254
7,2150,0.021
7,2164,0.235
7,2186,0.015
7,2230,0.015
7,2240,0.104
7,2267,0.577
7,2271,0.062
7,2282,0.095
7,2307,0.156
7,2318,0.08
7,2343,0.086
7,2359,0.056
7,2362,0.316
7,2365,0.012
7,2398,1.0
7,2418,0.215
7,2440,0.417
7,2443,0.02
7,2466,0.021
7,2468,0.04
7,2509,0.104
7,2549,0.012
7,2586,0.257
7,2595,0.015
7,2599,0.035
7,2630,0.057
7,2748,0.095
7,2814,0.097
7,2998,0.645
7,3114,0.239
7,3206,0.022
7,3248,0.21
7,3306,0.1
7,3375,0.03
7,3402,0.189
7,3437,0.02
7,3456,0.015
7,3472,0.06
7,3481,0.202
7,3509,0.02
7,3518,0.218
7,3555,0.016
7,3572,0.024
7,3574,0.024
7,3704,0.19
7,3708,0.015
7,3781,0.02
7,3798,0.861
7,3814,0.112
7,3821,0.015
7,3831,0.05
7,3843,0.125
7,3881,0.031
7,3904,0.071
7,3925,0.07
7,4063,0.035
7,4096,0.22
7,4110,0.082
7,4117,0.065
7,4121,1.0
7,4149,0.234
7,4164,0.065
7,4173,0.072
7,4200,0.015
7,4284,0.085
7,4320,0.047
7,4333,0.053
7,4387,0.252
7,4415,0.075
7,4497,0.473
7,4542,0.035
7,4554,0.23
7,4573,0.053
7,4683,0.196
7,4714,0.259
7,4750,0.046
7,4770,0.763
7,4787,0.481
7,4803,0.035
7,4808,0.065
7,4838,0.053
7,4852,0.03
7,4896,0.047
7,4940,0.112
7,4980,0.015
7,5037,0.318
7,5038,0.105
7,5076,0.168
7,5081,0.051
7,5167,0.02
7,5327,0.029
7,5389,0.015
7,5393,0.175
7,5530,0.869
7,5679,0.046
7,5720,0.047
7,5731,0.235
7,5809,0.119
7,5835,0.27
7,5943,0.215
7,6005,0.042
7,6011,0.05
7,6076,0.985
7,6145,0.045
