layer,feature,c_vqa,n_vqa,c_vsr,n_vsr,odds_ratio,p_raw,freq_vsr,freq_vqa,freq_diff,p_adj
5,9747,6003,1323088,42038,2701355,3.4683059130955,0.0,0.0155618199014938,0.0045371131776571,0.0110247067238367,0.0
10,9237,11525,1323088,79890,2701355,3.4681396753226275,0.0,0.0295740470985857,0.008710682887306,0.0208633642112796,0.0
6,6503,9008,1323088,62557,2701355,3.458304224113493,0.0,0.0231576375559672,0.0068083150931759,0.0163493224627913,0.0
25,7603,16840,1323088,115269,2701355,3.4574277520017445,0.0,0.0426708077983086,0.0127278004184151,0.0299430073798935,0.0
24,12588,7563,1323088,52542,2701355,3.4503273937194443,0.0,0.0194502388616083,0.0057161730738998,0.0137340657877084,0.0
10,3590,21754,1323088,147098,2701355,3.445020640249402,0.0,0.0544534131944894,0.0164418390915797,0.0380115741029097,0.0
1,7991,26154,1323088,175413,2701355,3.4436432867649303,0.0,0.0649351899324598,0.0197673926450848,0.0451677972873749,0.0
22,8690,5518,1323088,38387,2701355,3.441994932482408,0.0,0.0142102759541045,0.0041705464791457,0.0100397294749587,0.0
21,12711,12247,1323088,84130,2701355,3.440567856494668,0.0,0.0311436297709853,0.0092563759931312,0.021887253777854,0.0
12,14681,7535,1323088,51818,2701355,3.4145678794072305,0.0,0.0191822252166042,0.0056950104603775,0.0134872147562267,0.0
24,3841,18945,1323088,127013,2701355,3.3963507674973488,0.0,0.0470182556531814,0.0143187754707169,0.0326994801824644,0.0
25,11792,6742,1323088,46187,2701355,3.3963235682959074,0.0,0.0170977157759716,0.0050956550131208,0.0120020607628508,0.0
23,7819,17412,1323088,116524,2701355,3.3804147949107137,0.0,0.0431353894619552,0.0131601223803707,0.0299752670815844,0.0
5,6289,9162,1323088,62137,2701355,3.376413562533855,0.0,0.0230021600270975,0.0069247094675486,0.0160774505595488,0.0
22,1139,13667,1323088,91860,2701355,3.372687315766619,0.0,0.0340051566713741,0.0103296228217624,0.0236755338496117,0.0
25,12335,7083,1323088,47963,2701355,3.358498987832246,0.0,0.0177551636123352,0.0053533854135174,0.0124017781988178,0.0
8,4995,8858,1323088,59770,2701355,3.3570233860955536,0.0,0.0221259330965385,0.0066949439493064,0.0154309891472321,0.0
21,2881,5803,1323088,39026,2701355,3.327510950212641,0.0,0.014446823908742,0.0043859516524977,0.0100608722562443,0.0
21,4490,10223,1323088,68205,2701355,3.3264601351392904,0.0,0.0252484401346731,0.0077266213585188,0.0175218187761542,0.0
10,901,14293,1323088,94560,2701355,3.321611364320097,0.0,0.0350046550712512,0.0108027583955111,0.0242018966757401,0.0
21,5648,9298,1323088,61836,2701355,3.3101906377461607,0.0,0.0228907344647408,0.0070274993046569,0.0158632351600838,0.0
24,2088,7962,1323088,52973,2701355,3.303840951212384,0.0,0.0196097884209961,0.0060177403165926,0.0135920481044034,0.0
3,538,12119,1323088,79927,2701355,3.2982321080083885,0.0,0.0295877439285099,0.0091596326170292,0.0204281113114807,0.0
25,7500,23170,1323088,149492,2701355,3.286627773145911,0.0,0.0553396351090471,0.0175120626897077,0.0378275724193394,0.0
9,12733,12271,1323088,80609,2701355,3.2856455519530083,0.0,0.029840209820627,0.0092745153761503,0.0205656944444767,0.0
21,3184,6522,1323088,43230,2701355,3.283005999336796,0.0,0.0160030799358099,0.0049293773354455,0.0110737026003644,0.0
4,4216,10071,1323088,66331,2701355,3.2819330898870183,0.0,0.0245547142082399,0.0076117385993977,0.0169429756088421,0.0
8,8023,10659,1323088,70019,2701355,3.2764153539239413,0.0,0.0259199549855535,0.0080561534833661,0.0178638015021873,0.0
10,10396,10424,1323088,68242,2701355,3.2636337925433754,0.0,0.0252621369645973,0.0078785386913039,0.0173835982732934,0.0
9,15031,58454,1323088,352720,2701355,3.249115692928174,0.0,0.1305715094832038,0.0441799789583157,0.0863915305248881,0.0
